SIDO,GUGUN,DONG,ADD,latitude,longitude,,,,
강원,정선군,정선읍,강원 정선군 정선읍,37.3797668,128.6616588,,,,
강원,정선군,화암면,강원 정선군 화암면,37.340929,128.788283,,,,
강원,철원군,갈말읍,강원 철원군 갈말읍,38.1476026,127.3082931,,,,
강원,철원군,근남면,강원 철원군 근남면,38.2369678,127.4709446,,,,
강원,철원군,근북면,강원 철원군 근북면,38.3309282,127.416533,,,,
강원,철원군,김화읍,강원 철원군 김화읍,38.2494732,127.4213267,,,,
강원,철원군,동송읍,강원 철원군 동송읍,38.2068404,127.2083831,,,,
강원,철원군,서면,강원 철원군 서면,38.1645299,127.4157565,,,,
강원,철원군,철원읍,강원 철원군 철원읍,38.2120964,127.2129166,,,,
강원,춘천시,교동,강원 춘천시 교동,37.8818619,127.7365072,,,,
강원,춘천시,근화동,강원 춘천시 근화동,37.880565,127.7124994,,,,
강원,춘천시,낙원동,강원 춘천시 낙원동,37.8788885,127.7240454,,,,
강원,춘천시,남면,강원 춘천시 남면,37.7321141,127.5997722,,,,
강원,춘천시,남산면,강원 춘천시 남산면,37.791794,127.646139,,,,
강원,춘천시,동내면,강원 춘천시 동내면,37.8478481,127.7611357,,,,
강원,춘천시,동면,강원 춘천시 동면,37.9102917,127.7810518,,,,
강원,춘천시,동산면,강원 춘천시 동산면,37.7522873,127.7962822,,,,
강원,춘천시,봉의동,강원 춘천시 봉의동,37.8862033,127.731057,,,,
강원,춘천시,북산면,강원 춘천시 북산면,37.9872966,127.8859686,,,,
강원,춘천시,사농동,강원 춘천시 사농동,37.9143964,127.7233874,,,,
강원,춘천시,사북면,강원 춘천시 사북면,38.0298441,127.6407483,,,,
강원,춘천시,삼천동,강원 춘천시 삼천동,37.8681089,127.7004109,,,,
강원,춘천시,서면,강원 춘천시 서면,37.8986693,127.692725,,,,
강원,춘천시,석사동,강원 춘천시 석사동,37.8584573,127.7421092,,,,
강원,춘천시,소양로1가,강원 춘천시 소양로1가,37.8922071,127.7302006,,,,
강원,춘천시,소양로2가,강원 춘천시 소양로2가,37.886657,127.7243352,,,,
강원,춘천시,소양로3가,강원 춘천시 소양로3가,37.8816524,127.722811,,,,
강원,춘천시,소양로4가,강원 춘천시 소양로4가,37.8771297,127.7201494,,,,
강원,춘천시,송암동,강원 춘천시 송암동,37.854583,127.6875981,,,,
강원,춘천시,신동,강원 춘천시 신동,37.9352417,127.7253053,,,,
강원,춘천시,신동면,강원 춘천시 신동면,37.8176715,127.7159706,,,,
강원,춘천시,신북읍,강원 춘천시 신북읍,37.9258813,127.7461417,,,,
강원,춘천시,약사동,강원 춘천시 약사동,37.8744792,127.7254225,,,,
강원,춘천시,옥천동,강원 춘천시 옥천동,37.8824368,127.731364,,,,
강원,춘천시,온의동,강원 춘천시 온의동,37.8631234,127.7161022,,,,
강원,춘천시,요선동,강원 춘천시 요선동,37.8833996,127.7279757,,,,
강원,춘천시,우두동,강원 춘천시 우두동,37.9052051,127.7386063,,,,
강원,춘천시,운교동,강원 춘천시 운교동,37.8772595,127.7323191,,,,
강원,춘천시,조양동,강원 춘천시 조양동,37.8796352,127.7301299,,,,
강원,춘천시,죽림동,강원 춘천시 죽림동,37.8775305,127.7270143,,,,
강원,춘천시,중도동,강원 춘천시 중도동,37.8831088,127.6950944,,,,
강원,춘천시,중앙로1가,강원 춘천시 중앙로1가,37.8830276,127.7291471,,,,
강원,춘천시,중앙로2가,강원 춘천시 중앙로2가,37.8789927,127.726052,,,,
강원,춘천시,중앙로3가,강원 춘천시 중앙로3가,37.8753387,127.720662,,,,
강원,춘천시,춘천우체국사서함,강원 춘천시 춘천우체국사서함,37.8748164,127.7298872,,,,
강원,춘천시,칠전동,강원 춘천시 칠전동,37.842745,127.7058688,,,,
강원,춘천시,퇴계동,강원 춘천시 퇴계동,37.8552763,127.7318914,,,,
강원,춘천시,효자1동,강원 춘천시 효자1동,37.8720663,127.7273872,,,,
강원,춘천시,효자2동,강원 춘천시 효자2동,37.8722055,127.7364973,,,,
강원,춘천시,효자3동,강원 춘천시 효자3동,37.8764001,127.7412748,,,,
강원,춘천시,효자동,강원 춘천시 효자동,37.8712386,127.7367815,,,,
강원,춘천시,후평1동,강원 춘천시 후평1동,37.8849542,127.7485238,,,,
